claim_id,claim,specification_location,easycrypt_location,jasmin_location,status,evidence,blocking_note
KEYGEN-M2-SINGULAR-NUMERIC-BOUNDARY,Conditional local integer decoding extracted table facts real-pair complex scaffold and exact finish tie discrepancies,N/A,easycrypt/spec/KeygenM23ComplexReal.ec;easycrypt/spec/KeygenM23FFTTableCertificate.ec;easycrypt/spec/KeygenM23FixedPointSemantics.ec;easycrypt/spec/KeygenM23SingularBoundary.ec;easycrypt/spec/KeygenM23SingularZeroFinish.ec;easycrypt/spec/KeygenM23SingularIntegerSemantics.ec;easycrypt/spec/KeygenM23SingularTieRegression.ec,fft.jinc:1-118;singular_values.jinc:50-77;polyvec.c:515-568,VERIFIED,scripts/verify-keygen-m23-matrix-proof.sh,The local signed Q16 and scalar butterfly or accumulator decoders are proved under explicit fit premises; the extracted bit-reversal table is exact and all signed root coordinates lie in the Q16 unit range; transparent real-pair complex algebra and coordinate-error laws are checked without project-authored axioms; tied zeros score 120 versus paper weight 256 and an already-selected equal-value vector gives 375000 versus 800000 across the 611098 guard while FFT reachability the machine DFT identity global error and nonoverflow remain open and the deployed multiplicity-sensitive tie rule is preserved
KEYGEN-M2-IDEAL-ROOT-DFT,Constructive lower-half 512th root abstract odd-root DFT twist identity and exact ideal FFT schedule,N/A,easycrypt/spec/KeygenM23ComplexReal.ec;easycrypt/spec/KeygenM23IdealRootDFT.ec;easycrypt/spec/KeygenM23IdealFFTSchedule.ec,fft.c:5-10;fft.c:185-228;fft.jinc:15-118,VERIFIED,scripts/verify-keygen-m23-matrix-proof.sh;docs/17-target-keygen-ideal-root-dft.md;docs/18-target-keygen-ideal-fft-schedule.md,The exact real-pair root is built from proved lower-half square roots and has checked dyadic power anchors including the power-of-two primitivity criterion; the pure exact-complex bit-reversed eight-stage schedule computes dft256 and its twisted input computes odd_dft256 while equality between the fixed-point machine evaluator and the ideal schedule global error nonoverflow score semantics and acceptance remain open
KEYGEN-M2-ROOT-TABLE-ROUNDING,Actual extracted FFT roots are unique nearest Q16 encodings of the exact ideal schedule,N/A,easycrypt/spec/KeygenM23RootGeneratorCertificate.ec;easycrypt/spec/KeygenM23RootTableRounding.ec;easycrypt/spec/KeygenM23RootTableTargetBridge.ec,fft_tables.jinc:3-69;singular_values.jinc:107,VERIFIED,scripts/verify-keygen-m23-matrix-proof.sh;docs/19-target-keygen-root-table-rounding.md,All 256 W32.to_sint root pairs have strict per-coordinate error below 1/131072 from ideal_root j and satisfy the exact floor rounding equations with uniqueness; the decoded machine FFT trace global error nonoverflow score meaning and guard correspondence remain open
KEYGEN-M2-FFT-INIT-BRIDGE,Decoded 256-cell target FFT initialization safety bit reversal and ideal twisted-input error,N/A,easycrypt/spec/KeygenM23SingularFFTSpec.ec:36-39;easycrypt/refinement/TargetKeygenM23SingularFFT.ec:27-35;easycrypt/spec/KeygenM23SingularFFTInitBridge.ec,fft.jinc:15-54;fft_tables.jinc:3-55;singular_values.jinc:117;singular_values.jinc:142,VERIFIED,scripts/verify-keygen-m23-matrix-proof.sh;docs/20-target-keygen-fft-initialization-bridge.md,The full fft_init_and_bitrev fold is decoded pointwise with a proved write and frame invariant; coefficient magnitude at most two discharges every raw initialization product fit and gives whole-vector coordinate error at most 1/65536 against ideal_bitrev8 of the ideally twisted coefficient vector; reachability of the coefficient predicate rounded butterfly stages global FFT error squared-magnitude and accumulator safety score meaning and rejection correspondence remain open
SIGN-M2-HASH-SURFACE,Mode 2 signing transcript and sampler SHAKE paths,N/A,TBD,sign.jazz:25-426;sign.jazz:450-709;sign.jazz:834-1110;sign.jazz:1529-2011;sign.jazz:2423-2845,NOT_STARTED,docs/05-target-fips202-shake-extraction.md,Signing mu seed sampler and challenge paths use specialized local absorb logic
VERIFY-M2-HASH-SURFACE,Mode 2 verification transcript and sampler SHAKE paths,N/A,TBD,verify.jazz:114-501;verification_transcript.jinc:1-478;public_key_unpack.jinc:141-273,NOT_STARTED,docs/05-target-fips202-shake-extraction.md,Verification matrix mu and challenge paths require exact extraction
SEC-EUFCMA,Paper-faithful EUF-CMA bound,Security theorem TBD,HAETAE_Security.ec:136-187,N/A,PARTIAL,haetae-security/provable-security,Compilation passes but high-risk paper-correspondence gaps remain
COMPOSE-M2,Mode 2 Jasmin implementation security,Security theorem plus keygen/sign/verify algorithms,TBD,keypair.jazz;sign.jazz;verify.jazz,NOT_STARTED,,Requires KEYGEN-M2 SIGN-M2 VERIFY-M2 and SEC-EUFCMA
COMPOSE-M3,Mode 3 Jasmin implementation security,Security theorem plus keygen/sign/verify algorithms,TBD,keypair.jazz;sign.jazz;verify.jazz,NOT_STARTED,,Requires KEYGEN-M3 SIGN-M3 VERIFY-M3 and SEC-EUFCMA
COMPOSE-M5,Mode 5 Jasmin implementation security,Security theorem plus keygen/sign/verify algorithms,TBD,keypair.jazz;sign.jazz;verify.jazz,NOT_STARTED,,Requires KEYGEN-M5 SIGN-M5 VERIFY-M5 and SEC-EUFCMA
AUDIT-DECLARATIONS,Managed security declaration boundary,N/A,16-file managed proof surface,N/A,VERIFIED,scripts/check-security-declarations.sh,140 declarations classified with bounded-parser limitations documented
AUDIT-PREMISES,Exported EUF-CMA theorem premises,N/A,HAETAE_Security.ec,N/A,VERIFIED,scripts/check-theorem-premises.sh,104 premises across 25 theorem variants classified
AUDIT-GAP-OWNERS,Paper correspondence gap ownership,N/A,PAPER_CORRESPONDENCE_GAPS.md:9-16,N/A,VERIFIED,scripts/check-paper-gap-owners.sh,All eight source rows map to planned named owner lemmas and acceptance criteria
