theorem,file,theorem_line,premise_ordinal,premise_line,premise_meaning,classification,current_status,linked_id,discharge_lemma,closure_criterion
euf_cma_security_from_ro_signing_attempt_to_ro_exact_hyperball_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1072,4,1087,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_paper_sample_lifting_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1140,1,1141,The structural signing-attempt sample is within rejection loss of the exact-hyperball sample for every event,structural correspondence obligation,OPEN,GAP-REJECTION,structural_to_exact_hyperball_paper_sample_loss_obligation_from_attempt_loss (conditional),Prove this statistical-distance obligation for the exact HAETAE hyperball and rejection distributions
euf_cma_security_from_paper_sample_lifting_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1140,2,1142,RO signing-attempt NMA success is bounded by RO exact-hyperball NMA success plus rejection loss,checked derived premise,CHECKED_COARSE,GAP-REJECTION,rom_internal_nma_ro_signing_attempt_ro_exact_hyperball_loss_bound,Replace the coarse loss-at-least-one bound with a non-vacuous lazy-ROM lift from the per-call sample obligation
euf_cma_security_from_paper_sample_lifting_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1140,3,1149,RO exact-hyperball NMA success plus rejection loss is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING;GAP-REJECTION,-,Construct the hardness reduction from the exact RO hyperball accepted-signing law
euf_cma_security_from_paper_sample_lifting_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1140,4,1155,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_paper_sample_lifting_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1140,5,1156,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_budgeted_paper_sample_lifting_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1170,1,1172,Unbudgeted RO signing-attempt NMA success is bounded by its budgeted wrapper,structural correspondence obligation,OPEN,MODEL-ROM;GAP-REJECTION,-,Prove the adversary query bound and exact erasure relation from unbudgeted to budgeted execution
euf_cma_security_from_budgeted_paper_sample_lifting_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1170,2,1178,Budgeted RO exact-hyperball NMA success is bounded by its unbudgeted wrapper,structural correspondence obligation,OPEN,MODEL-ROM;GAP-REJECTION,-,Prove the budgeted-to-unbudgeted erasure relation for all executions within the signature-query bound
euf_cma_security_from_budgeted_paper_sample_lifting_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1170,3,1184,The structural signing-attempt sample is within rejection loss of the exact-hyperball sample for every event,structural correspondence obligation,OPEN,GAP-REJECTION,structural_to_exact_hyperball_paper_sample_loss_obligation_from_attempt_loss (conditional),Prove this statistical-distance obligation for the exact HAETAE hyperball and rejection distributions
euf_cma_security_from_budgeted_paper_sample_lifting_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1170,4,1185,RO exact-hyperball NMA success plus query-counted rejection loss is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING;GAP-REJECTION,-,Construct the hardness reduction from the budgeted exact accepted-signing law
euf_cma_security_from_budgeted_paper_sample_lifting_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1170,5,1191,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_budgeted_paper_sample_lifting_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1170,6,1192,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_checked_ro_sampling_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1217,1,1218,RO exact-hyperball NMA success plus rejection loss is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING;GAP-REJECTION,-,Construct the hardness reduction from the exact RO hyperball accepted-signing law
euf_cma_security_from_checked_ro_sampling_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1217,2,1224,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_checked_ro_sampling_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1217,3,1225,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
euf_cma_security_from_real_signing_exact_hyperball_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1239,1,1240,Real-signing NMA success is bounded by exact-hyperball NMA success plus rejection loss,structural correspondence obligation,OPEN,GAP-REJECTION,haetae_rejection_exact_hyperball_sampling_hop_from_real_signing_exact_hyperball_hop (conditional),Prove the statistical hop for the exact HAETAE real-signing and hyperball distributions
euf_cma_security_from_real_signing_exact_hyperball_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1239,2,1247,Exact-hyperball NMA success plus rejection loss is bounded by MLWE plus bimodal self-target MSIS success,structural correspondence obligation,OPEN,GAP-FORKING;GAP-REJECTION,-,Construct the hardness reduction from the exact hyperball accepted-signing law
euf_cma_security_from_real_signing_exact_hyperball_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1239,3,1253,MLWE game success is bounded by the MLWE hardness term,retained hardness/ROM,RETAINED,CRYPTO-MLWE,-,Instantiate the exact HAETAE MLWE game and parameters while retaining its advantage term
euf_cma_security_from_real_signing_exact_hyperball_hop_and_counted_bimodal,haetae-security/provable-security/easycrypt/HAETAE_Security.ec,1239,4,1254,The constructed Module-SIS reduction success is bounded by the Module-SIS hardness term,retained hardness/ROM,RETAINED,CRYPTO-MSIS;GAP-MSIS,-,Retain hardness only after proving the constructed game has the paper distribution and exact norm relation
